stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
300,1374,"W. Kingston Rd at Bannister",,47.798492,-122.499453,,,,,,0
301,1375,"Madison at Sakai Park",,47.638837,-122.521089,,,,,,0
302,1376,"Madison at High School Rd (Eagle Harbor HS)",,47.636029,-122.521079,,,,,,0
303,1378,"Valley Rd at Sunrise Dr",,47.664764,-122.510370,,,,,,0
304,138,"Perry Ave at E. 19th St.",,47.577535,-122.613892,,,,,,0
305,1382,"Summit at Preble",,47.556804,-122.657375,,,,,,0
306,1383,"Summit at Merrill",,47.555135,-122.661650,,,,,,0
307,1384,"G St. at Charlotte",,47.555661,-122.664573,,,,,,0
308,1385,"G St. at National",,47.555676,-122.667190,,,,,,0
309,1386,"National at Loxie Eagans (West Hills STEM)",,47.557368,-122.667735,,,,,,0
311,1388,"Oyster Bay at Roosevelt",,47.554300,-122.673317,,,,,,0
312,1389,"Roosevelt at Cottman",,47.552609,-122.674368,,,,,,0
313,139,"Perry Ave at E. 18th St.",,47.575858,-122.613893,,,,,,0
314,1390,"Roosevelt at Humphrey",,47.550672,-122.677412,,,,,,0
315,1391,"Union at Sinclair",,47.552536,-122.679531,,,,,,0
316,1392,"Union at Haselwood",,47.556305,-122.677838,,,,,,0
317,1394,"Dora at Columbia Way",,47.562489,-122.666502,,,,,,0
318,1395,"Dora at 1st",,47.563775,-122.666340,,,,,,0
319,1396,"Dora at 6th",,47.566901,-122.666070,,,,,,0
320,1397,"Adele at 11th",,47.569616,-122.663085,,,,,,0
321,1398,"Marion at Marion Ct.",,47.564582,-122.662512,,,,,,0
322,1399,"1st St. at Marion",,47.563652,-122.661792,,,,,,0
323,14,"Old Wheaton Way at Eastwynd Apts.",,47.583379,-122.626961,,,,,,0
324,140,"Perry Ave at E. 17th St.",,47.574857,-122.613833,,,,,,0
325,1400,"1st St. at Summit",,47.563640,-122.657186,,,,,,0
327,1402,"Auto Center Blvd at Wilkes",,47.561734,-122.682392,,,,,,0
328,1403,"Union at Haselwood SB",,47.556387,-122.677907,,,,,,0
329,1405,"10th Ave at Liberty",,47.742333,-122.637386,,,,,,0
330,1406,"10th Ave At Forest Rock",,47.746159,-122.637992,,,,,,0
331,1407,"National at Loxie Eagans",,47.558601,-122.667700,,,,,,0
332,1408,"Auto Center Way at Kean",,47.560478,-122.674476,,,,,,0
333,1409,"Auto Center Way at Western",,47.562339,-122.677023,,,,,,0
334,141,"Perry Ave at E. 16th St.",,47.573494,-122.613910,,,,,,0
335,1410,"Hwy 305 at Johnson",,47.719459,-122.622118,,,,,,0
336,1411,"Summit at Rodgers",,47.559469,-122.657348,,,,,,0
337,1412,"Summit at Farragut",,47.558098,-122.657386,,,,,,0
338,1414,"7th Ave at Fred Hutch",,47.743894,-122.640130,,,,,,0
341,142,"Perry Ave at E. 13th St.",,47.571996,-122.613917,,,,,,0
342,143,"Perry Ave at E. 11th St.",,47.570653,-122.613917,,,,,,0
343,144,"Harkins at Old Wheaton Way",,47.570866,-122.616716,,,,,,0
344,145,"Bay Vista & Russell Rd",,47.565451,-122.677779,,,,,,0
345,146,"11th St. at Perry",,47.570198,-122.613396,,,,,,0
346,147,"Day at Phelps (Hwy 305)",,47.679273,-122.538586,,,,,,0
347,148,"Sunrise at Torvanger",,47.689943,-122.510643,,,,,,0
348,149,"Sunrise at Valley",,47.664925,-122.510401,,,,,,0
349,15,"Lebo Blvd at Old Wheaton Way",,47.581603,-122.627796,,,,,,0
350,150,"E. 11th St. at Ironsides",,47.570200,-122.611789,,,,,,0
351,151,"E. 11th St. at Trenton",,47.570154,-122.608818,,,,,,0
352,152,"Trenton at E. 13th St.",,47.572242,-122.608390,,,,,,0
353,153,"Trenton at E. 16th St.",,47.574018,-122.608371,,,,,,0
354,154,"Trenton at E. 17th St.",,47.575261,-122.608334,,,,,,0
355,155,"Trenton at Terrace",,47.576991,-122.608315,,,,,,0
356,156,"Trenton at Cascade Trail",,47.578377,-122.608288,,,,,,0
357,157,"Trenton at E. 22nd St.",,47.579796,-122.608178,,,,,,0
358,158,"Trenton at Holman",,47.580596,-122.608255,,,,,,0
359,159,"Trenton at Bowen",,47.582698,-122.608207,,,,,,0
360,16,"Lebo Blvd at Clare",,47.581894,-122.629513,,,,,,0
361,160,"Trenton at Stoneway",,47.583720,-122.608219,,,,,,0
362,161,"Trenton at Helm",,47.587315,-122.608127,,,,,,0
363,162,"Trenton at Barnett",,47.589109,-122.608050,,,,,,0
364,163,"Trenton at Franklin",,47.592603,-122.607965,,,,,,0
365,164,"Trenton at Sylvan",,47.595335,-122.607899,,,,,,0
366,167,"Chico Way at 4681",,47.606182,-122.709211,,,,,,0
367,168,"Mile Hill at Fircrest",,47.533839,-122.598681,,,,,,0
368,169,"Southworth at Young Hill",,47.522651,-122.524802,,,,,,0
369,17,"Lebo Blvd at Juniper",,47.582670,-122.632586,,,,,,0
370,170,"Southworth at Young Hill",,47.522768,-122.524814,,,,,,0
371,171,"Colchester at Puget",,47.551981,-122.543932,,,,,,0
372,172,"Hwy 305 at Bond",,47.750782,-122.644588,,,,,,0
373,173,"Hwy 305 at Bond",,47.750467,-122.643640,,,,,,0
374,174,"Perry at 24th St.",,47.581759,-122.613764,,,,,,0
375,18,"Lebo Blvd at Belmont Terrace",,47.582813,-122.633831,,,,,,0
376,184,"Trenton at Sylvan",,47.595465,-122.608028,,,,,,0
377,185,"Trenton at Franklin",,47.592444,-122.608074,,,,,,0
378,186,"Trenton at Barnett",,47.589310,-122.608198,,,,,,0
